"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.148220208E0,-1.281575710E-1,6.202641129E-2,-1.376145035E-1
3.168322208E0,-1.402532160E-1,7.728255540E-2,-1.529586762E-1
3.188423208E0,-1.451481134E-1,9.123671800E-2,-1.782437861E-1
3.208524208E0,-1.791063398E-1,8.151219785E-2,-2.110781819E-1
3.228625208E0,-2.427476346E-1,6.000448391E-2,-2.560621500E-1
3.248726208E0,-2.850004733E-1,5.803290755E-2,-3.143204451E-1
3.268828208E0,-3.172819614E-1,1.385852993E-1,-3.811029792E-1
3.288929208E0,-3.463083208E-1,2.628666759E-1,-4.235605597E-1
3.309030208E0,-3.885588348E-1,3.333081901E-1,-4.199206531E-1
3.329131208E0,-4.828419685E-1,3.805508912E-1,-3.936059773E-1
3.349232208E0,-5.358159542E-1,3.255494237E-1,-3.820209801E-1
3.369333208E0,-4.768122435E-1,2.308270633E-1,-4.060668945E-1
3.389435208E0,-4.024680853E-1,1.629345119E-1,-4.503090382E-1
3.409536208E0,-3.896071613E-1,6.238367781E-2,-4.609520733E-1
3.429637208E0,-4.123633802E-1,-4.085744917E-2,-4.721103907E-1
3.449738208E0,-4.653288722E-1,-4.912578687E-2,-4.876933694E-1
3.469839208E0,-5.236617327E-1,3.879787028E-2,-5.195555687E-1
3.489941208E0,-6.042548418E-1,1.311215460E-1,-5.847494602E-1
3.510042208E0,-7.336261868E-1,2.357672304E-1,-6.788898706E-1
3.530143208E0,-9.013543725E-1,3.417533636E-1,-7.777553797E-1
3.550244208E0,-9.852243662E-1,2.781223953E-1,-8.597816229E-1
3.570345208E0,-9.415585995E-1,-4.146276787E-2,-8.865925074E-1
3.590447208E0,-9.124863148E-1,-4.278557897E-1,-8.773139119E-1
3.610548208E0,-9.753375649E-1,-6.861281395E-1,-9.078921676E-1
3.630648708E0,-9.026153088E-1,-7.700474262E-1,-9.381142259E-1
3.650749708E0,-8.507888913E-1,-6.485571265E-1,-9.772979021E-1
3.670850708E0,-9.768835902E-1,-3.692376912E-1,-1.110171080E0
3.690951708E0,-1.157266498E0,-1.704046726E-1,-1.118462801E0
3.711053708E0,-1.313251019E0,-2.355328202E-1,-1.113351345E0
3.731154708E0,-1.622776151E0,-3.278144300E-1,-1.151953697E0
3.751255708E0,-2.035894156E0,-1.833887696E-1,-1.327830553E0
3.771356708E0,-2.120060444E0,-1.202764660E-1,-1.471961379E0
3.791457708E0,-1.882268548E0,-1.914804578E-1,-1.507039189E0
3.811559708E0,-1.710847497E0,-4.354494810E-2,-1.615874052E0
3.831660708E0,-1.828641176E0,1.635164022E-1,-1.890633106E0
3.851761708E0,-1.984065890E0,2.757357955E-1,-2.219039917E0
3.871862708E0,-2.075937510E0,2.164662033E-1,-2.483657598E0
3.891963708E0,-2.205399752E0,-8.092845231E-2,-2.638633013E0
3.912065708E0,-2.453362703E0,-6.621426344E-1,-2.742033243E0
3.932166708E0,-2.880248070E0,-1.098264575E0,-2.732644558E0
3.952267708E0,-3.240446568E0,-1.351681828E0,-2.799332380E0
3.972368708E0,-3.204149961E0,-1.461790919E0,-2.826982737E0
3.992469708E0,-2.944976568E0,-1.115933537E0,-2.801230669E0
4.012571708E0,-3.038191557E0,-9.090386033E-1,-2.916845322E0
4.032672708E0,-4.018520832E0,-2.256026864E-2,-3.388533115E0
4.052773708E0,-4.805104256E0,1.797983527E0,-3.910270214E0
4.072874708E0,-3.862177849E0,3.033247948E0,-4.063449383E0
4.092975708E0,-2.996805429E0,3.673650503E0,-4.903610706E0
4.113076708E0,-2.305910110E0,4.636972427E0,-6.467168331E0
4.133178708E0,-1.716452241E0,5.517965794E0,-7.523174763E0
4.153279708E0,-1.916225553E0,4.482404709E0,-7.237751961E0
4.173380708E0,-2.468920231E0,2.636000395E0,-6.187973976E0
4.193481708E0,-2.277470827E0,2.250964880E0,-5.288785458E0
4.213582708E0,-1.492564082E0,1.767587304E0,-4.883296013E0
4.233684708E0,-1.037380934E0,1.081860065E0,-5.171492577E0
4.253785708E0,-1.232883334E0,8.132495284E-1,-5.541620255E0
4.273886708E0,-1.313705802E0,5.579376817E-1,-5.405119419E0
4.293987708E0,-1.094061136E0,1.591953337E-1,-4.858576775E0
4.314088708E0,-8.643895984E-1,-2.804323733E-1,-4.153091908E0
4.334190708E0,-8.328397274E-1,-7.432593703E-1,-3.523831844E0
4.354291708E0,-1.140757203E0,-6.274861097E-1,-3.527886629E0
4.374392708E0,-1.355341792E0,-3.607594371E-1,-3.029724121E0
4.394493708E0,-1.215259790E0,-4.959660470E-1,-3.048865318E0
4.414594708E0,-7.953351736E-1,-1.865233779E-1,-3.045925379E0
4.434695708E0,-5.714173913E-1,-2.367393225E-1,-3.024502277E0
4.454797708E0,-8.346390128E-1,-3.794195354E-1,-2.954972982E0
4.474898708E0,-9.182189107E-1,-1.953408718E-1,-2.860335112E0
4.494999708E0,-1.087342381E0,-2.533299923E-1,-2.700990200E0
4.515100708E0,-1.567925215E0,-7.220914960E-1,-2.742438555E0
4.535201708E0,-2.045292377E0,-9.857997894E-1,-2.801740408E0
4.555303708E0,-2.475892544E0,-1.270445347E0,-2.958585024E0
4.575404708E0,-1.951885819E0,-1.816446900E0,-2.738639355E0
4.595505708E0,-3.317483068E-1,-2.448650837E0,-2.598193884E0
4.615606708E0,1.882706136E-1,-2.565630674E0,-2.894371748E0
4.635707375E0,-2.792677641E0,-7.528091431E0,-5.935291290E0
4.655808375E0,-1.211189747E1,-2.241226959E1,-1.001522160E1
4.675910375E0,-5.149029255E0,-3.209570694E1,-1.966585159E0
4.696011375E0,1.889385343E0,-6.636242390E0,8.134071827E-1
4.716112375E0,1.210759163E0,1.876567006E0,8.121188879E-1
4.736213375E0,1.749604702E0,-5.814603567E-1,2.596807182E-1
4.756314375E0,1.744701266E0,-8.141391277E-1,1.810186505E-1
4.776416375E0,1.686040163E0,-9.701455235E-1,1.484076083E-1
4.796517375E0,1.590587854E0,-1.209103942E0,1.355342269E-1
4.816618375E0,1.573456168E0,-1.258580923E0,1.128665581E-1
4.836719375E0,1.584536791E0,-1.245572209E0,8.924356848E-2
4.856820375E0,1.387406349E0,-9.475092888E-1,1.588404477E-1
4.876922375E0,6.308361888E-1,1.424008310E-1,4.473338723E-1
4.897023375E0,-9.788324833E-1,2.387090206E0,9.479665160E-1
4.917124375E0,-5.029069901E0,7.407766819E0,1.644122124E0
4.937225375E0,-1.070253468E1,9.063326836E0,1.634244084E0
4.957326375E0,-8.010646820E0,-5.828729153E0,-7.667826861E-2
4.977427375E0,2.947901487E0,-9.250765800E0,3.987738490E-1
4.997529375E0,3.972721338E0,8.398281932E-1,-1.349976808E-1
5.017630375E0,2.268482924E0,4.526009083E0,6.812561154E-1
5.037731375E0,1.790876269E0,5.186805725E0,6.807507873E-1
5.057832375E0,1.402411222E0,5.239965916E0,4.899360836E-1
5.077933375E0,-5.002438426E-1,3.401823997E0,-1.600202471E-1
5.098034375E0,-3.024092197E0,-5.698027134E0,-4.361884296E-1
5.118136375E0,-2.335713387E0,-8.022162437E0,5.301099420E-1
5.138237375E0,-1.719248056E0,-2.692311764E0,4.975969195E-1
5.158338375E0,-7.369824052E-1,1.736612767E-1,1.398337781E-1
5.178439375E0,1.052818894E-1,3.429163694E-1,-9.120924026E-2
5.198540375E0,8.828967810E-1,-4.107705951E-1,-2.126839310E-1
5.218642375E0,1.265540242E0,2.814913094E-1,-2.390514910E-1
5.238743375E0,9.257017970E-1,1.657827258E0,-1.591267735E-1
5.258844375E0,3.129785061E-1,1.357344985E0,-6.268172711E-2
5.278945375E0,4.361543804E-2,-1.073415503E-1,3.259723261E-2
5.299046375E0,-1.142158732E-1,-6.210998297E-1,8.620507270E-2
5.319148375E0,-2.038109004E-1,-1.048731655E-1,6.763681769E-2
5.339249375E0,1.061393172E-1,5.181152821E-1,4.303395376E-2
5.359350375E0,4.066931307E-1,7.566246390E-1,-4.400573671E-3
5.379451375E0,4.075018167E-1,7.748354673E-1,-3.066769615E-2
5.399552375E0,2.052698135E-1,8.797765970E-1,-4.276610911E-2
5.419653375E0,1.674520224E-1,6.284175515E-1,-4.602113739E-2
5.439755375E0,2.021918446E-1,1.730823517E-1,-4.383287951E-2
5.459856375E0,2.599138394E-2,-5.521991476E-2,-2.302667312E-2
5.479957375E0,-2.335289568E-1,-3.072441518E-1,1.281340886E-2
5.500058375E0,-3.678755462E-1,-6.052600145E-1,3.711890802E-2
5.520159375E0,-4.194197655E-1,-7.724828124E-1,3.510933369E-2
5.540261375E0,-4.069485962E-1,-8.226782084E-1,2.926369384E-2
5.560362375E0,-3.055548966E-1,-7.353170514E-1,1.497275569E-2
5.580463375E0,-1.557574123E-1,-4.566926062E-1,-2.181463875E-3
5.600564375E0,-1.568275690E-2,-1.607818007E-1,-9.345253929E-3
5.620665375E0,4.789936915E-2,8.664064109E-3,-5.961239338E-3
5.640767125E0,4.305645078E-2,6.247869879E-2,-1.099333167E-4
5.660869125E0,5.368705839E-2,7.502689958E-2,3.192150965E-3
5.680970125E0,7.883927226E-2,2.283756882E-1,6.292086095E-3
5.701071125E0,1.104897335E-1,3.643836677E-1,7.559574209E-3
5.721172125E0,1.301181316E-1,3.870280385E-1,5.906661041E-3
5.741273125E0,1.228359118E-1,4.199559391E-1,2.411842346E-3
5.761375125E0,1.288599074E-1,4.450781643E-1,-5.288731772E-3
5.781476125E0,1.513215601E-1,3.904191852E-1,-1.598506235E-2
5.801577125E0,1.360329092E-1,2.782743573E-1,-2.054689452E-2
5.821678125E0,7.268802077E-2,1.074996591E-1,-1.449219231E-2
5.841779125E0,-1.105261967E-2,-1.015430763E-1,-2.915463410E-3
5.861880125E0,-9.167105705E-2,-2.737506032E-1,1.155092567E-2
5.881982125E0,-1.241298914E-1,-3.745010793E-1,1.324750669E-2
5.902083125E0,-1.118923500E-1,-4.027112722E-1,1.052820962E-2
5.922184125E0,-9.021712095E-2,-3.708539307E-1,6.153060123E-3
5.942285125E0,-6.307251006E-2,-2.905886769E-1,1.773714786E-3
5.962386125E0,-4.396937042E-2,-1.853692383E-1,3.103599185E-3
5.982488125E0,-3.868215904E-2,-7.928159833E-2,3.660079092E-3
6.002589125E0,-4.250985757E-2,-6.623196881E-3,5.855364725E-3
6.022690125E0,-3.545235842E-2,4.437325895E-2,5.534997210E-3
6.042791125E0,-7.558834273E-3,1.447281390E-1,1.062477822E-4
6.062892125E0,4.175593704E-2,2.307302654E-1,-4.383631982E-3
6.082993125E0,5.823364109E-2,2.671807110E-1,-6.528764497E-3
6.103095125E0,5.567640439E-2,2.688897550E-1,-5.369796418E-3
6.123196125E0,7.207272202E-2,2.256531417E-1,-6.737704854E-3
6.143297125E0,7.921759039E-2,1.834763288E-1,-9.209201671E-3
6.163398125E0,5.402769148E-2,1.245670840E-1,-6.491463166E-3
6.183499125E0,2.271983959E-2,3.425744828E-3,-4.529246129E-3
6.203601125E0,-1.226639654E-2,-9.896248579E-2,7.031671703E-4
6.223702125E0,-4.038367420E-2,-1.765437722E-1,6.500441581E-3
6.243803125E0,-5.243610591E-2,-2.299836427E-1,7.334651891E-3
6.263904125E0,-4.554115236E-2,-2.268103957E-1,5.370462313E-3
6.284005125E0,-1.280043460E-2,-1.727434695E-1,-2.306425013E-3
6.304106125E0,-1.201019157E-3,-6.881646067E-2,-6.051189732E-3
6.324208125E0,-8.821394295E-5,5.267601460E-2,-1.104328968E-2
6.344309125E0,1.724906638E-2,1.772406250E-1,-2.361489460E-2
6.364410125E0,8.685043082E-3,2.478183657E-1,-3.417657688E-2
6.384511125E0,-7.365656644E-2,2.350789905E-1,-4.008986428E-2
6.404612125E0,-9.079249203E-2,1.404744685E-1,-3.940324485E-2
6.424713125E0,-4.520712793E-2,1.726455986E-1,-3.958133236E-2
6.444815125E0,4.960912094E-2,2.707768977E-1,-4.477095604E-2
6.464916125E0,1.371482760E-1,3.011350632E-1,-3.784884885E-2
6.485017125E0,1.361283064E-1,2.448180169E-1,-2.096335776E-2
6.505118125E0,1.157654971E-1,9.892550111E-2,-7.629436441E-3
6.525219125E0,9.288670868E-2,6.137733813E-3,4.689968191E-3
6.545321125E0,6.379169971E-2,-3.639553860E-2,1.314007677E-2
6.565422125E0,2.963962033E-2,-1.083604544E-1,1.893579960E-2
6.585523125E0,-3.079847805E-2,-1.425113976E-1,2.228493989E-2
6.605624125E0,-9.601857513E-2,-1.446344554E-1,2.189058810E-2
6.625724875E0,-8.608110249E-2,-1.420728117E-1,1.629944146E-2
6.645825875E0,-4.863701016E-2,-1.126844138E-1,6.790161133E-3
6.665927875E0,-4.871692136E-2,-4.470329732E-2,-2.706849249E-3
6.686028875E0,-5.274340510E-2,4.589527845E-3,-6.710168906E-3
6.706129875E0,-3.787599131E-2,5.152363703E-2,-1.107157208E-2
6.726230875E0,-1.546469517E-2,1.215956658E-1,-1.669909619E-2
6.746331875E0,9.733133018E-3,1.649803370E-1,-2.022428066E-2
6.766433875E0,3.586056828E-2,1.888328344E-1,-1.943586208E-2
6.786534875E0,4.896391556E-2,2.096951455E-1,-2.677442878E-2
6.806635875E0,6.570371985E-2,2.378878146E-1,-3.628206998E-2
6.826736875E0,8.076035976E-2,2.703001201E-1,-4.118091241E-2
6.846837875E0,7.586597651E-2,2.636565268E-1,-3.732800484E-2
6.866938875E0,6.249540672E-2,1.627579033E-1,-3.038982674E-2
6.887040875E0,3.957567737E-2,7.110060751E-2,-6.561075803E-3
6.907141875E0,-2.361062914E-2,-3.107788414E-2,1.527833520E-3
6.927242875E0,-1.407140680E-2,-1.169894487E-1,9.693680331E-3
6.947343875E0,-3.580822796E-2,-1.154840067E-1,1.285234280E-2
6.967444875E0,-5.128280073E-2,-1.647748798E-1,1.953715086E-2
6.987545875E0,-4.718982801E-2,-1.585213691E-1,1.299982239E-2
7.007647875E0,-1.277996227E-2,-1.212105900E-1,5.994230509E-3
7.027748875E0,7.296307012E-3,-8.197174966E-2,1.517081633E-3
7.047849875E0,-1.801488921E-3,-3.374586627E-2,-1.450886833E-3
7.067950875E0,-1.915896777E-3,9.561981075E-3,-2.627367619E-3
7.088051875E0,-5.660112947E-5,1.256404165E-2,-1.837488497E-3
7.108153875E0,-2.809375525E-3,3.487294912E-2,-4.843400093E-4
7.128254875E0,-1.126353629E-2,6.951816380E-2,-1.863526297E-3
7.148355875E0,1.243337989E-3,9.151361138E-2,-6.779193878E-3
7.168456875E0,1.956900209E-2,1.070633009E-1,-6.678207312E-3
7.188557875E0,2.558207884E-2,8.162375540E-2,-5.927949678E-3
7.208658875E0,2.066828683E-2,4.687750712E-2,-4.767081700E-3
7.228760875E0,2.065469325E-2,9.518396109E-3,-4.117370117E-4
7.248861875E0,1.920966245E-2,-4.201411270E-3,6.603403017E-5
7.268962875E0,4.276689142E-4,-5.238827318E-2,5.283376202E-3
7.289063875E0,-3.228918463E-2,-9.000039101E-2,8.460208774E-3
7.309164875E0,-4.140606150E-2,-8.599310368E-2,7.991278544E-3
7.329265875E0,-3.820187971E-2,-8.817941695E-2,5.761410575E-3
7.349367875E0,-4.387116432E-2,-8.146862686E-2,2.331315074E-3
7.369468875E0,-2.394766174E-2,-6.351213902E-2,2.353689400E-3
7.389569875E0,-6.681588944E-3,-1.861763373E-2,-1.308423467E-3
7.409670875E0,2.799032489E-3,1.278565545E-2,-2.229193226E-3
7.429771875E0,1.175356004E-2,2.820191346E-2,-2.288522897E-3
7.449873875E0,2.072140202E-2,4.876419902E-2,-4.891702440E-3
7.469974875E0,1.629696786E-2,7.315703481E-2,-5.185992923E-3
7.490075875E0,1.494298968E-2,7.985852659E-2,-7.697511464E-3
7.510176875E0,1.117583551E-2,1.080613434E-1,-9.863290936E-3
7.530277875E0,-7.172041107E-3,1.167186648E-1,-1.238279790E-2
7.550378875E0,-2.314330637E-2,1.295853853E-1,-1.993009821E-2
7.570480875E0,-3.760415316E-2,1.918078214E-1,-3.093205206E-2
7.590581875E0,-6.587424129E-2,2.738190889E-1,-4.402594641E-2
7.610682875E0,-8.781089634E-2,3.498181403E-1,-5.627112091E-2
7.630783750E0,-6.235596165E-2,3.945238292E-1,-6.526667625E-2
7.650884750E0,-3.865810856E-2,4.294357002E-1,-8.000558615E-2
7.670985750E0,-2.102137357E-2,4.594536126E-1,-8.586832136E-2
7.691087750E0,1.160911620E-1,3.456816673E-1,-4.691626877E-2
7.711188750E0,3.211384416E-1,1.096586324E-2,1.329297433E-3
