"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.878746855E2,9.541159058E-1,-1.015832565E1,-1.017883301E-2
1.878947865E2,8.146060181E-1,-1.034483780E1,6.002517700E-2
1.879148885E2,4.492158508E-1,-9.886640625E0,2.758763123E-1
1.879349905E2,-1.137634277E-2,-9.525142365E0,3.454815674E-1
1.879550925E2,-4.135899353E-1,-9.686357117E0,1.471440125E-1
1.879751945E2,-4.436773682E-1,-9.805060272E0,-5.972579956E-2
1.879952965E2,-7.065307617E-2,-9.762997742E0,3.083587646E-2
1.880153985E2,4.457730103E-1,-9.675429840E0,2.963836670E-1
1.880355000E2,7.475454712E-1,-9.585616608E0,3.462300110E-1
1.880556020E2,7.360194397E-1,-9.661209412E0,1.354682922E-1
1.880757030E2,5.113366699E-1,-9.838141479E0,-1.263372803E-1
1.880958050E2,4.056564331E-2,-9.846374359E0,-8.397537231E-2
1.881159070E2,-2.871029663E-1,-9.573491821E0,2.516267395E-1
1.881360090E2,-5.176235962E-1,-9.380992126E0,6.884184265E-1
1.881561110E2,-6.965016174E-1,-9.380243683E0,9.886940002E-1
1.881762130E2,-7.713459778E-1,-9.397906952E0,1.313368835E0
1.881963150E2,-8.545729065E-1,-9.341923370E0,1.638492737E0
1.882164170E2,-8.424481201E-1,-9.124425659E0,1.866169281E0
1.882365190E2,-1.203946381E0,-8.930728455E0,1.812880096E0
1.882566200E2,-1.491199036E0,-8.794062653E0,1.828298035E0
1.882767220E2,-1.756297760E0,-8.475075989E0,2.118993530E0
1.882968240E2,-2.357896729E0,-8.220904541E0,1.916764069E0
1.883169260E2,-2.714904327E0,-7.991880798E0,1.231938171E0
1.883370280E2,-2.775528259E0,-8.148604889E0,7.611671448E-1
1.883571300E2,-2.218686218E0,-8.855285339E0,-3.420387268E-1
1.883772320E2,-1.766326904E-1,-1.154579041E1,-2.533930664E0
1.883973340E2,1.417851562E0,-1.463791031E1,-3.012485504E0
1.884174360E2,1.287921753E0,-1.430994232E1,-4.947212219E-1
1.884375370E2,2.126627655E0,-1.026759842E1,4.299060059E-1
1.884576390E2,2.213746490E0,-9.281149750E0,-2.475252686E0
1.884777410E2,2.767894135E0,-1.075603271E1,-9.252858582E0
1.884978430E2,4.088298340E0,-1.112756012E1,-7.494914246E0
1.885179450E2,4.904401245E0,-1.032448013E1,-4.386627960E0
1.885380470E2,6.291267242E0,-1.114387619E1,4.001179504E-1
1.885581490E2,6.827452240E0,-1.397194519E1,5.654341736E0
1.885782510E2,7.330406342E0,-1.663176407E1,5.537584534E0
1.885983530E2,4.480333099E0,-1.906435547E1,6.410868530E0
1.886787600E2,-1.982028351E0,-2.311747696E1,5.650000763E0
1.886988620E2,-3.453468475E0,-1.588391922E1,5.064717865E0
1.887189640E2,-4.743485870E0,-1.086919739E1,-4.909790039E-1
1.887390660E2,-5.647006989E0,-6.571334839E0,-3.257226562E-1
1.887591680E2,-5.297633514E0,-2.577190704E0,2.884801025E0
1.887792700E2,-4.354145508E0,1.218615875E0,6.150859222E0
1.887993710E2,-4.417014771E0,3.383114777E0,5.502108307E0
1.888194730E2,-4.387825470E0,4.175267487E0,2.760260010E0
1.888395750E2,-3.948638763E0,4.055516510E0,6.135740662E-1
1.888596770E2,-4.259093170E0,3.304677887E0,-1.960922241E-1
1.888797790E2,-4.096980286E0,2.604583740E0,2.194436646E-1
1.888998810E2,-2.910098419E0,1.869462433E0,-1.425036621E-1
1.889199830E2,-1.801952820E0,1.504072266E0,-2.774031372E0
1.889400850E2,-1.390608215E0,1.163530426E0,-7.678133240E0
1.889601870E2,-1.522184601E0,-2.714155884E0,-1.480541199E1
1.889802880E2,-1.395248566E0,-6.896608429E0,-1.130479156E1
1.890003900E2,-3.060834961E0,-7.069498901E0,-3.103945312E0
1.890204920E2,-1.897753601E0,-5.089865570E0,5.436844025E0
1.890405944E2,-9.776170349E-1,-6.008056183E0,7.667205963E0
1.890606964E2,9.946815491E-1,-1.236818024E1,9.282796326E0
1.891210024E2,1.588047638E0,-3.037543396E1,-6.129753113E0
1.891411034E2,2.684966583E0,-1.229393463E1,-3.189118195E0
1.891612054E2,1.699266357E0,-6.069877625E0,6.915618896E-1
1.891813074E2,1.557211761E0,-5.473517761E0,3.195255432E0
1.892014094E2,1.645977173E0,-1.123922791E1,3.046165466E0
1.892215114E2,3.160677338E0,-1.864028732E1,2.717748413E0
1.892416134E2,3.810625763E0,-1.726509705E1,9.557624817E-1
1.892617154E2,1.656156006E0,-1.095496902E1,-7.189698944E0
1.892818174E2,5.014572144E-2,-6.506968689E0,-1.230770599E1
1.893019194E2,7.961943054E-1,-3.251688080E0,-7.785460052E0
1.893220214E2,1.297052765E0,-1.383123779E0,-2.644700317E0
1.893421224E2,1.367406464E0,-6.369255066E-1,3.083587646E-2
1.893622244E2,1.393901367E0,-3.608995056E-1,8.783734131E-1
1.893823264E2,1.823507996E0,-5.722599792E-1,7.409591675E-1
1.894024284E2,2.610720978E0,-1.138532410E0,5.153782654E-1
1.894225304E2,3.289559326E0,-2.592009888E0,7.532336426E-1
1.894426324E2,4.190984802E0,-6.026767273E0,1.304237823E0
1.894627344E2,5.713169403E0,-1.374501709E1,1.181642761E0
1.894866054E2,2.422412567E0,-2.604658585E1,-2.862033371E1
1.895129894E2,8.035889282E0,-2.034149963E1,-1.429317719E1
1.895330904E2,9.685908051E0,-1.625769196E1,-3.404969330E0
1.895531924E2,1.093012070E1,-1.445648758E1,4.315525818E0
1.895732944E2,1.183603683E1,-1.811368240E1,7.656877441E0
1.896537024E2,6.698121185E0,-1.987312363E1,6.839876404E0
1.896738044E2,2.880010986E0,-1.540731033E1,4.008663940E0
