"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.801508708E0,1.279988251E0,-7.695347443E0,-2.134411469E0
3.821609708E0,2.528841248E0,-8.268355865E0,-2.160756683E0
3.841710708E0,3.661835175E0,-8.498277740E0,-2.607278137E0
3.861812708E0,4.418511658E0,-7.883506165E0,-2.901566162E0
3.881913708E0,4.558320923E0,-6.873706055E0,-3.229983215E0
3.902014708E0,4.480782166E0,-6.150410156E0,-2.873873749E0
3.922115708E0,3.901636505E0,-5.350623322E0,-3.244802399E0
3.942216708E0,2.555485840E0,-4.833149414E0,-3.657344513E0
3.962318708E0,1.647174683E0,-5.154830475E0,-3.122955780E0
3.982419708E0,7.402107239E-1,-6.312523041E0,-2.435285797E0
4.002520708E0,4.052073669E-1,-6.429878998E0,-3.165467377E0
4.022621708E0,1.111887817E0,-5.085075531E0,-8.801098022E0
4.042722708E0,4.285737762E0,-3.128194885E0,-1.804647217E1
4.062824708E0,6.557413788E0,-1.524130554E0,-2.123124939E1
4.082925708E0,8.186027069E0,2.341880035E0,-1.670690781E1
4.103026708E0,1.329205902E1,7.108717346E0,-1.467802689E1
4.123127708E0,1.743903534E1,9.482780457E0,-1.307545944E1
4.143228708E0,1.644540161E1,1.085497696E1,-1.075363770E1
4.163329708E0,1.185055664E1,1.126961472E1,-9.786947937E0
4.183431708E0,4.141437836E0,1.033450928E1,-7.527845764E0
4.203532708E0,8.803193665E-1,9.188791809E0,-3.027604065E0
4.223633708E0,-1.299298096E-1,7.776927795E0,-5.944139099E-1
4.243734708E0,-4.613406372E-1,5.467081146E0,-9.138496399E-1
4.263835708E0,-1.179996185E0,2.250270538E0,-1.156644745E0
4.283937708E0,-2.164648590E0,4.507127380E-1,7.047344971E-1
4.304038708E0,-2.623294830E0,6.212081909E-2,1.062191162E0
4.324139708E0,-2.554737396E0,3.948788452E-1,1.147364044E0
4.344240708E0,-7.192543030E-1,1.185235291E0,-4.400848389E-2
4.364341708E0,5.602848816E-1,3.879781952E0,-2.565664673E-1
4.384442708E0,-1.635948029E0,1.538111481E1,-1.057700500E0
4.419620708E0,-6.799460449E0,2.466406082E1,-6.057902527E-1
4.439721708E0,-4.728516998E0,1.368873413E1,-5.631289673E-1
4.459822708E0,-2.125130768E0,4.198918304E0,-1.936672668E0
4.479923708E0,-8.686436462E-1,1.590592346E0,-4.102967834E-1
4.500024708E0,-9.939331055E-1,2.023941193E0,-9.369017029E-1
4.520125708E0,-9.093589783E-1,2.326911163E0,-9.053173828E-1
4.540227708E0,-6.515950012E-1,2.063309326E0,-1.353784790E0
4.560328708E0,1.187031555E-1,-8.393046570E-1,-5.912704468E-1
4.580429708E0,-8.262817383E-2,-1.530716858E0,-3.607498169E-1
4.600530708E0,-4.311035156E-2,-1.570084991E0,9.988728333E-1
4.620631375E0,-8.021818542E-1,3.348536682E-1,-4.490661621E-2
4.640733375E0,-7.234904938E0,1.758079056E1,-8.320896606E0
4.660834375E0,-1.526795013E1,8.417595520E0,-5.510640564E0
4.711087375E0,1.563468750E1,-2.122885437E0,3.283362213E1
4.731188375E0,3.461252289E0,6.512956238E-1,4.006418610E0
4.751289375E0,2.784210205E-2,-7.708969116E-2,-3.047662354E-1
4.771390375E0,2.439926147E-2,-6.810836792E-2,-2.052232361E-1
4.791491375E0,2.948867798E-2,-6.361770630E-2,-2.589614868E-1
4.811593375E0,3.397933960E-2,-5.703140259E-2,-1.353186035E-1
4.831694375E0,4.969665527E-2,-6.182144165E-2,-3.367996216E-2
4.851795375E0,8.352630615E-2,6.122268677E-2,1.796264648E-3
4.871896375E0,2.567161560E-1,7.888595581E-1,3.248245239E-2
4.891997375E0,5.158273315E-1,1.538800049E0,8.652008057E-2
4.912099375E0,1.551224213E0,4.310885468E0,3.001258850E-1
