"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.215578083E0,3.610188663E-1,1.175426602E0,-3.112342358E-1
3.235679083E0,6.893027425E-1,7.477596998E-1,-4.343690276E-1
3.255781083E0,9.525778294E-1,7.924124002E-1,-3.624471426E-1
3.275883083E0,7.705456018E-1,2.124076635E-1,-1.347981393E-1
3.295984083E0,-4.095889330E-1,4.994812906E-1,-4.972539842E-1
3.316086083E0,3.408047259E-1,5.462859273E-1,-6.751170158E-1
3.336188083E0,1.265460730E0,1.413165480E-1,-3.179999292E-1
3.356289083E0,1.094543576E0,1.063256860E0,-4.085383378E-3
3.376391083E0,2.611431479E-1,2.396107435E0,1.518503129E-1
3.396493083E0,-4.550493881E-2,3.312050819E0,2.642189562E-1
3.416594083E0,5.325603485E-1,3.378453255E0,4.080803096E-1
3.436696083E0,1.188608646E0,2.778848886E0,2.136923373E-1
3.456798083E0,1.436839819E0,1.878864050E0,-3.013302386E-2
3.476899083E0,1.490339279E0,1.272791266E0,1.493517011E-1
3.497001083E0,1.427646041E0,1.318205118E0,4.740783572E-1
3.517102083E0,1.420283079E0,1.732041001E0,6.660076976E-1
3.537204083E0,1.610213518E0,2.517994881E0,6.776819825E-1
3.557306083E0,1.699417114E0,3.219108105E0,5.415291190E-1
3.577408083E0,1.463953495E0,3.399622917E0,3.176406026E-1
3.597509083E0,1.124085665E0,3.137289286E0,1.540751159E-1
3.617611083E0,9.400341511E-1,2.749944687E0,9.693766944E-3
3.637713083E0,1.184323788E0,2.435700417E0,-3.636533767E-2
3.657814083E0,1.915167689E0,2.464446783E0,-1.041085646E-2
3.677916083E0,2.289256573E0,2.669284821E0,-1.534981430E-1
3.698017083E0,1.072250485E0,2.031581163E0,-4.357440770E-1
3.718119083E0,-2.639717422E-2,1.005440950E0,-6.279692650E-1
3.738221083E0,-1.626929343E-1,3.983708024E-1,-5.246046185E-1
3.758323083E0,-8.159929514E-2,-3.046656027E-2,-2.982471287E-1
3.778424083E0,-6.899187714E-2,-3.158468008E-1,-9.259490669E-2
3.798526083E0,1.258452237E-2,-2.682729661E-1,-1.016727313E-1
3.818628083E0,2.094582170E-1,2.738842070E-1,-3.010028899E-1
3.838729083E0,2.124163955E-1,7.884142399E-1,-5.152698159E-1
3.858831083E0,-7.616711259E-1,1.777643800E0,-1.046688080E0
3.878932083E0,-3.010058641E0,3.262558222E0,-1.977361321E0
3.899034083E0,-3.914611340E0,2.436120272E0,-2.668306351E0
3.919136083E0,-3.049727440E0,2.682290673E-1,-3.021546841E0
3.939237083E0,-2.506124735E0,-1.887661934E0,-2.782168388E0
3.959339083E0,-2.622298956E0,-3.217415810E0,-1.948769689E0
3.979441083E0,-2.724875450E0,-3.156937838E0,-8.057858944E-1
3.999542083E0,-2.079132557E0,-1.772973657E0,-1.164040118E-1
4.019644083E0,-1.122337937E0,-4.036736190E-1,-3.046031296E-1
4.039746083E0,-5.096598268E-1,1.290067434E0,-8.805631399E-1
4.059847083E0,-4.999604225E-1,1.527514935E0,-1.461516500E0
4.079949083E0,-1.185636371E-1,3.095213473E-1,-1.623229384E0
4.100051083E0,3.621059358E-1,-9.967513084E-1,-1.383223295E0
4.120152083E0,6.334056258E-1,-1.728907824E0,-9.031959772E-1
4.140254083E0,7.133110166E-1,-1.853109360E0,-3.103267252E-1
4.160356083E0,6.711207628E-1,-1.900453568E0,3.063514829E-1
4.180457083E0,6.360917091E-1,-2.303839207E0,9.544328451E-1
4.200559083E0,6.822921038E-1,-2.701030016E0,1.590248704E0
4.220661083E0,6.033406258E-1,-3.490751028E0,2.130699158E0
4.240762083E0,8.048062325E-1,-3.732002974E0,2.372781277E0
4.260864083E0,-1.726988435E0,-1.367013812E0,1.754287928E-1
4.280966083E0,-3.139269054E-1,-2.824032545E0,-7.399815321E-1
4.301067083E0,4.254076183E-1,-1.925358415E0,-8.053564429E-1
4.321169083E0,-2.194973528E-1,3.019669652E-1,-8.485548496E-1
4.341271083E0,-6.715897918E-1,1.702017307E0,-4.180352092E-1
4.361372083E0,-1.232573271E0,3.587574661E-1,6.412218213E-1
4.381474083E0,-9.754286408E-1,-1.519208789E0,1.473645091E0
4.401576083E0,-7.119937539E-1,-1.140452027E0,6.109037995E-1
4.421677083E0,1.460069884E-2,-1.525904417E0,5.876604468E-2
4.441779083E0,7.665096521E-1,-2.385349751E0,-1.204516590E-1
4.461881083E0,1.228905082E0,-2.964736462E0,-9.537740797E-2
4.481982083E0,1.305107117E0,-3.079822779E0,2.100204080E-1
4.502084083E0,1.476635933E0,-2.586535454E0,3.908850253E-1
4.522186083E0,1.984985352E0,-1.806583762E0,1.277330816E-1
4.542287083E0,2.782119274E0,-1.042711854E0,-2.105939835E-1
4.562389083E0,4.161531448E0,-8.833169937E-2,-3.345797658E-1
4.582491083E0,3.479818106E0,2.752442062E-1,2.774678171E-1
4.602592083E0,1.853416800E0,-1.526967287E-1,9.384807348E-1
4.622694083E0,9.415786862E-1,-3.983883858E-1,9.440190196E-1
4.642796083E0,8.592996597E-1,-3.280584216E-1,9.147865772E-1
4.662897083E0,8.575769663E-1,-1.066012025E0,9.759528041E-1
4.682999083E0,9.151694775E-1,-2.627644777E0,9.056410193E-1
4.703100083E0,9.514197707E-1,-2.924982548E0,4.155780971E-1
4.723202083E0,-3.840147853E-1,1.633666158E-1,-1.141884848E-1
4.743304083E0,-1.613338470E0,2.289856434E0,-1.051469892E-1
4.763405083E0,-2.393476486E0,1.460675240E0,-2.153725177E-1
4.783507083E0,-2.387007713E0,2.311211675E-1,-4.408600926E-1
4.803609083E0,-1.925684094E0,-8.153525591E-1,-7.337058783E-1
4.823710083E0,-2.044288874E0,-1.396921396E0,-1.135357022E0
4.843812083E0,-3.171454668E0,-2.307299972E-1,-1.757831097E0
4.863914083E0,-4.346434593E0,2.403713226E0,-2.568428755E0
4.884015083E0,-3.115111113E0,1.843245268E0,-2.204361677E0
4.904117083E0,-2.005303621E0,1.114599586E0,-1.136880517E0
